LATVIA,(Unknown city),,,95.215.44.189 8080 0,normal
(Unknown Country?),(Unknown City?),,,73.15.150.172,normal
(Unknown Country?),(Unknown City?),,,151.236.6.198 9001 9030,normal
(Unknown Country?),(Unknown City?),,,162.247.72.201,exit
(Unknown Country?),(Unknown City?),,,185.13.39.197,normal
GERMANY,Gunzenhausen,47.9833,9.3833,46.4.253.194,normal
GERMANY,Erfurt,50.9667,11.0167,87.118.116.227,normal
(Unknown Country?),(Unknown City?),,,89.179.127.124,normal
GERMANY,Berlin,52.5,13.4167,78.47.148.174,normal
(Unknown Country?),(Unknown City?),,,37.59.38.117,normal
UNITED STATES,(Unknown city),,,66.172.33.106,normal
NORWAY,Narvik,68.4356,17.4372,89.162.87.180,normal
(Unknown Country?),(Unknown City?),,,91.97.46.155,normal
GERMANY,Kassel,51.3167,9.48333,77.176.155.15,normal
(Unknown Country?),(Unknown City?),,,94.253.14.98,normal
(Unknown Country?),(Unknown City?),,,86.22.244.227,normal
(Unknown Country?),(Unknown City?),,,99.122.19.26,normal
FRANCE,Paris,48.8,2.33333,62.210.74.143,exit
HONG KONG,(Unknown city),,,210.6.46.37,normal
UNITED STATES,(Unknown city),,,24.187.20.8,normal
